2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-07-01 00:00:00	51286	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-07-01 00:00:00	10840	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-07-01 00:00:00	7677	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-07-01 00:00:00	56	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-07-01 00:00:00	56250	1	0.00001777777777777777777777777777777777777778
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-07-01 00:00:00	5054	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-06-01 00:00:00	20152	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-06-01 00:00:00	52968	1	0.0000188793233650505965866183355988521371394
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-06-01 00:00:00	11086	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-06-01 00:00:00	7889	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-06-01 00:00:00	80	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-06-01 00:00:00	56131	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-06-01 00:00:00	5095	1	0.000196270853778213935230618253189401373896
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-05-01 00:00:00	19365	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-05-01 00:00:00	52353	1	0.00001910110213359310832235019960651729604798
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-05-01 00:00:00	11773	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-05-01 00:00:00	8834	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-05-01 00:00:00	59	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-05-01 00:00:00	57880	3	0.00005183137525915687629578438147892190739461
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-05-01 00:00:00	4855	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-04-01 00:00:00	26508	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-04-01 00:00:00	64283	2	0.00003111242474682264362273073752002862343077
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-04-01 00:00:00	15867	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-04-01 00:00:00	11957	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-04-01 00:00:00	93	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-04-01 00:00:00	62799	3	0.00004777146132900205417283714708832943199732
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-04-01 00:00:00	5388	0	0
2.16.840.1.113883.3.2489.2.1.2.1.3.1.2.4	2016-03-01 00:00:00	54	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-03-01 00:00:00	33092	2	0.00006043756799226399129699020911398525323341
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-03-01 00:00:00	103136	3	0.00002908780639156065777226186782500775674837
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-03-01 00:00:00	21227	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-03-01 00:00:00	15112	1	0.0000661725780836421386977236633139227104288
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-03-01 00:00:00	74	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-03-01 00:00:00	54583	3	0.00005496216770789439935511056556070571423337
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-03-01 00:00:00	4756	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-02-01 00:00:00	13951	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-02-01 00:00:00	37384	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-02-01 00:00:00	5914	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-02-01 00:00:00	4667	0	0
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-02-01 00:00:00	65	3	0.0461538461538461538461538461538461538462
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-02-01 00:00:00	53051	2541	0.0478973063655727507492789956833989934214
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-02-01 00:00:00	4517	524	0.1160061988045162718618552136373699357981
2.16.840.1.113883.3.2489.2.2.2.1.3.1.2.4	2016-01-01 00:00:00	403703	20795	0.05151064024790501928397856840300914286
2.16.840.1.113883.3.2489.2.3.4.1.2.4.1	2016-01-01 00:00:00	52370	8	0.00015275921329005155623448539240022913882
2.16.840.1.113883.3.2489.2.3.4.1.2.4.2	2016-01-01 00:00:00	136888	2	0.00001461048448366547834726199520776108935772
2.16.840.1.113883.3.2489.2.3.4.1.2.4.3	2016-01-01 00:00:00	32464	0	0
2.16.840.1.113883.3.2489.2.3.4.1.2.4.4	2016-01-01 00:00:00	21572	4	0.000185425551641016132022992768403486000371
2.16.840.1.113883.3.2489.2.4.4.1.2.4.1	2016-01-01 00:00:00	204	15	0.0735294117647058823529411764705882352941
2.16.840.1.113883.3.2489.2.4.4.1.2.4.2	2016-01-01 00:00:00	163352	7340	0.0449336402370341348743817033155394485528
2.16.840.1.113883.3.2489.2.4.4.1.2.4.3	2016-01-01 00:00:00	13924	1133	0.0813702958919850617638609594943981614479
